idu,nom_com,code_dep,section,numero,area_m2,built_m2,built_pct,zone_name
782200000C2845,Les Essarts-le-Roi,78,0C,2845,20671.0,0.0,0.0,
781380000B2954,Chanteloup-les-Vignes,78,0B,2954,24064.0,0.0,0.0,
78356000AH0003,Magny-les-Hameaux,78,AH,0003,29992.0,0.0,0.0,
78146000AE0030,Chatou,78,AE,0030,23031.0,0.0,0.0,
785500000C0031,Saint-Germain-de-la-Grange,78,0C,0031,22200.0,0.0,0.0,
78005000AB0310,Achères,78,AB,0310,28982.0,0.0,0.0,
78267000AD0317,Gargenville,78,AD,0317,21221.0,0.0,0.0,Zone d'Activités des Garennes
770480000F0266,Bourron-Marlotte,77,0F,0266,21519.0,0.0,0.0,EDAC
78208000AY0032,Élancourt,78,AY,0032,24000.0,0.0,0.0,Parc d'activités de Trappes–Élancourt
78440000AC0328,Les Mureaux,78,AC,0328,21472.0,0.0,0.0,
78545000AM0335,Saint-Cyr-l'École,78,AM,0335,21583.0,0.0,0.0,Sous Station de Saint-Cyr
783830000W0337,Maurepas,78,0W,0337,27255.0,0.0,0.0,Zones d'activités de Pariwest
78220000AH0034,Les Essarts-le-Roi,78,AH,0034,28473.0,0.0,0.0,
78423000BK0034,Montigny-le-Bretonneux,78,BK,0034,26105.0,0.0,0.0,
78073000BL0034,Bois-d'Arcy,78,BL,0034,27321.0,0.0,0.0,Zone Artisanale Croix Bonnet
78498000AX0344,Poissy,78,AX,0344,21641.0,0.0,0.0,Usine Stellantis de Poissy
786150000I0035,Thiverval-Grignon,78,0I,0035,26030.0,0.0,0.0,
78267000AB0035,Gargenville,78,AB,0035,21225.0,0.0,0.0,Zone industrielle pétrolière
78586000AD0353,Sartrouville,78,AD,0353,24525.0,0.0,0.0,Za du Prunay
78343000ZA0036,Les Loges-en-Josas,78,ZA,0036,21785.0,0.0,0.0,Zone Industrielle La Porte des Loges
600860000Y0098,Boran-sur-Oise,60,0Y,0098,20536.0,0.0,0.0,
60176000AM0077,Crépy-en-Valois,60,AM,0077,21654.0,0.0,0.0,Zone industrielle les portes du Valois
60463000AO0791,Nogent-sur-Oise,60,AO,0791,29569.0,0.0,0.0,Zone du Grand Pré
60517000ZD0008,Puiseux-le-Hauberger,60,ZD,0008,20040.0,0.0,0.0,
60525000ZN0008,Raray,60,ZN,0008,22223.0,0.0,0.0,
60083000AE0809,Bonneuil-en-Valois,60,AE,0809,21524.0,0.0,0.0,
953940000D0139,Méry-sur-Oise,95,0D,0139,20115.0,0.0,0.0,"Les Bosquets (I,II,IV)"
60670000BD0083,Verneuil-en-Halatte,60,BD,0083,23256.0,0.0,0.0,Parc Technologique Alata
60395000ZR0084,Méru,60,ZR,0084,23926.0,0.0,0.0,Zone industrielle le Bosquet
602380000A0848,Fleurines,60,0A,0848,25505.0,0.0,0.0,
603800000C0880,Mareuil-sur-Ourcq,60,0C,0880,25754.0,0.0,0.0,
